Light,Intensity,Rep,StartDate,EmergeDate,Sex,Initials,DaystoEmerge
LED,60,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,3,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,6,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,6,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,6,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,1,7/19/2024,7/28/2024,F,"LJ,MU",9
LED,100,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,3,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,3,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,3,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,3,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,3,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,6,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,6,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,6,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,6,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,6,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,100,3,7/19/2024,7/28/2024,F,"LJ,MU",9
LED,100,4,7/19/2024,7/28/2024,F,"LJ,MU",9
LED,100,4,7/19/2024,7/28/2024,F,"LJ,MU",9
LED,100,6,7/19/2024,7/28/2024,F,"LJ,MU",9
LED,200,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,3,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,6,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,6,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,6,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,200,6,7/19/2024,7/28/2024,F,"LJ,MU",9
LED,200,6,7/19/2024,7/28/2024,F,"LJ,MU",9
LED,200,6,7/19/2024,7/28/2024,F,"LJ,MU",9
HPS,10,1,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,1,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,1,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,1,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,2,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,2,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,2,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,2,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,3,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,4,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,4,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,4,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,4,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,4,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,6,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,10,6,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,1,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,1,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,1,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,2,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,2,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,2,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,3,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,3,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,3,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,4,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,4,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,4,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,4,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,4,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,4,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,6,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,6,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,30,6,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,1,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,1,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,2,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,3,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,3,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,3,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,3,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,3,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,3,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,4,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,4,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,4,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,4,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,6,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,60,2,7/19/2024,7/28/2024,F,"LJ,MU",9
HPS,100,1,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,1,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,1,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,1,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,1,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,1,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,2,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,2,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,2,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,2,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,3,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,3,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,4,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,6,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,6,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,6,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,6,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,100,4,7/19/2024,7/28/2024,F,"LJ,MU",9
HPS,100,4,7/19/2024,7/28/2024,F,"LJ,MU",9
HPS,200,1,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,200,2,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,200,2,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,200,2,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,200,3,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,200,3,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,200,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,200,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,200,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,200,5,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,200,6,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,200,6,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,200,6,7/19/2024,7/28/2024,M,"LJ,MU",9
HPS,200,6,7/19/2024,7/28/2024,M,"LJ,MU",9
Control,0,1,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,1,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,1,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,1,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,2,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,2,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,2,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,2,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,2,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,3,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,3,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,3,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,3,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,3,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,3,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,4,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,4,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,4,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,4,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,4,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,4,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,5,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,5,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,5,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,5,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,5,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,6,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,6,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,6,7/19/2024,7/29/2024,M,"EP,KD",10
Control,0,3,7/19/2024,7/29/2024,F,"EP,KD",10
Control,0,4,7/19/2024,7/29/2024,F,"EP,KD",10
Control,0,4,7/19/2024,7/29/2024,F,"EP,KD",10
Control,0,5,7/19/2024,7/29/2024,F,"EP,KD",10
LED,10,1,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,1,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,1,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,1,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,1,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,1,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,3,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,3,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,3,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,3,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,4,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,4,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,4,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,4,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,6,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,6,7/19/2024,7/29/2024,M,"EP,KD",10
LED,10,1,7/19/2024,7/29/2024,F,"EP,KD",10
LED,10,1,7/19/2024,7/29/2024,F,"EP,KD",10
LED,10,1,7/19/2024,7/29/2024,F,"EP,KD",10
LED,10,2,7/19/2024,7/29/2024,F,"EP,KD",10
LED,10,2,7/19/2024,7/29/2024,F,"EP,KD",10
LED,10,2,7/19/2024,7/29/2024,F,"EP,KD",10
LED,10,2,7/19/2024,7/29/2024,F,"EP,KD",10
LED,10,2,7/19/2024,7/29/2024,F,"EP,KD",10
LED,10,3,7/19/2024,7/29/2024,F,"EP,KD",10
LED,10,4,7/19/2024,7/29/2024,F,"EP,KD",10
LED,10,4,7/19/2024,7/29/2024,F,"EP,KD",10
LED,10,6,7/19/2024,7/29/2024,F,"EP,KD",10
LED,10,6,7/19/2024,7/29/2024,F,"EP,KD",10
LED,10,6,7/19/2024,7/29/2024,F,"EP,KD",10
LED,30,1,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,3,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,3,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,3,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,3,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,4,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,4,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,4,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,4,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,6,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,6,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,6,7/19/2024,7/29/2024,M,"EP,KD",10
LED,30,1,7/19/2024,7/29/2024,F,"EP,KD",10
LED,30,2,7/19/2024,7/29/2024,F,"EP,KD",10
LED,30,3,7/19/2024,7/29/2024,F,"EP,KD",10
LED,30,4,7/19/2024,7/29/2024,F,"EP,KD",10
LED,30,5,7/19/2024,7/29/2024,F,"EP,KD",10
LED,30,6,7/19/2024,7/29/2024,F,"EP,KD",10
LED,60,1,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,1,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,1,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,1,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,3,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,6,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,6,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,6,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,6,7/19/2024,7/29/2024,M,"EP,KD",10
LED,60,1,7/19/2024,7/29/2024,F,"EP,KD",10
LED,60,2,7/19/2024,7/29/2024,F,"EP,KD",10
LED,60,3,7/19/2024,7/29/2024,F,"EP,KD",10
LED,60,3,7/19/2024,7/29/2024,F,"EP,KD",10
LED,60,3,7/19/2024,7/29/2024,F,"EP,KD",10
LED,60,3,7/19/2024,7/29/2024,F,"EP,KD",10
LED,60,4,7/19/2024,7/29/2024,F,"EP,KD",10
LED,60,4,7/19/2024,7/29/2024,F,"EP,KD",10
LED,60,4,7/19/2024,7/29/2024,F,"EP,KD",10
LED,60,5,7/19/2024,7/29/2024,F,"EP,KD",10
LED,60,5,7/19/2024,7/29/2024,F,"EP,KD",10
LED,60,6,7/19/2024,7/29/2024,F,"EP,KD",10
LED,100,1,7/19/2024,7/29/2024,M,"EP,KD",10
LED,100,1,7/19/2024,7/29/2024,M,"EP,KD",10
LED,100,1,7/19/2024,7/29/2024,M,"EP,KD",10
LED,100,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,100,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,100,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,100,3,7/19/2024,7/29/2024,M,"EP,KD",10
LED,100,4,7/19/2024,7/29/2024,M,"EP,KD",10
LED,100,4,7/19/2024,7/29/2024,M,"EP,KD",10
LED,100,4,7/19/2024,7/29/2024,M,"EP,KD",10
LED,100,4,7/19/2024,7/29/2024,M,"EP,KD",10
LED,100,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,100,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,100,6,7/19/2024,7/29/2024,M,"EP,KD",10
LED,100,6,7/19/2024,7/29/2024,M,"EP,KD",10
LED,100,6,7/19/2024,7/29/2024,M,"EP,KD",10
LED,100,1,7/19/2024,7/29/2024,F,"EP,KD",10
LED,100,2,7/19/2024,7/29/2024,F,"EP,KD",10
LED,100,2,7/19/2024,7/29/2024,F,"EP,KD",10
LED,100,3,7/19/2024,7/29/2024,F,"EP,KD",10
LED,100,3,7/19/2024,7/29/2024,F,"EP,KD",10
LED,100,4,7/19/2024,7/29/2024,F,"EP,KD",10
LED,100,4,7/19/2024,7/29/2024,F,"EP,KD",10
LED,100,4,7/19/2024,7/29/2024,F,"EP,KD",10
LED,100,5,7/19/2024,7/29/2024,F,"EP,KD",10
LED,100,5,7/19/2024,7/29/2024,F,"EP,KD",10
LED,100,5,7/19/2024,7/29/2024,F,"EP,KD",10
LED,100,6,7/19/2024,7/29/2024,F,"EP,KD",10
LED,200,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,2,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,3,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,3,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,3,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,3,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,3,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,3,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,4,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,4,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,5,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,6,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,6,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,6,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,6,7/19/2024,7/29/2024,M,"EP,KD",10
LED,200,1,7/19/2024,7/29/2024,F,"EP,KD",10
LED,200,2,7/19/2024,7/29/2024,F,"EP,KD",10
LED,200,2,7/19/2024,7/29/2024,F,"EP,KD",10
LED,200,2,7/19/2024,7/29/2024,F,"EP,KD",10
LED,200,2,7/19/2024,7/29/2024,F,"EP,KD",10
LED,200,4,7/19/2024,7/29/2024,F,"EP,KD",10
LED,200,4,7/19/2024,7/29/2024,F,"EP,KD",10
LED,200,5,7/19/2024,7/29/2024,F,"EP,KD",10
LED,200,5,7/19/2024,7/29/2024,F,"EP,KD",10
