Light,Intensity,Rep,StartDate,DatetoPupate,DaystoPupate,Initials
Control,0,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
Control,0,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,10,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,30,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,60,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,100,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
LED,200,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,10,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,1,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,2,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,3,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,4,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,5,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
HPS,30,6,7/19/2024,7/26/2024,7,"KD,MU,EP"
